se-name,  Kxx,  Kyy,  Kzz,  Omegaxx,  Omegayy,  Omegazz,  PIxx,  PIyy,  PIzz,  lam1,  lam2,  e1,  e2,  nelems,  nnodes,  time, 
se0, 7.7249, 7.7249, 7.7246, 17.4253, 17.4253, 17.4426, 0.0039, -0.0064, -0.0025,  1.0,  1.0,  0.2,  0.2,  3270,  2447,  73.0, 
se1, 7.5632, 7.5632, 7.5586, 16.5109, 16.5109, 15.8114, -0.3776, 0.3967, -0.0077,  1.0,  1.0,  0.2,  0.4,  3158,  2311,  72.0, 
se2, 7.3936, 7.3936, 7.369, 15.5318, 15.5318, 14.3192, -0.815, 0.8047, -0.0002,  1.0,  1.0,  0.2,  0.6,  3262,  2335,  78.0, 
se3, 7.2232, 7.2232, 7.1682, 14.5593, 14.5593, 12.9891, -1.2011, 1.1913, 0.0002,  1.0,  1.0,  0.2,  0.8,  3094,  2179,  63.0, 
se4, 7.0555, 7.0555, 6.9626, 13.6228, 13.6228, 11.8198, -1.5321, 1.5292, -0.0011,  1.0,  1.0,  0.2,  1.0,  2510,  1819,  41.0, 
se5, 6.8971, 6.8971, 6.7607, 12.7549, 12.7549, 10.8307, -1.8399, 1.839, -0.0018,  1.0,  1.0,  0.2,  1.2,  2678,  1879,  47.0, 
se6, 6.7501, 6.7501, 6.5657, 11.9668, 11.9671, 10.0057, -2.0885, 2.0887, -0.0004,  1.0,  1.0,  0.2,  1.4,  2830,  1903,  50.0, 
se7, 6.6138, 6.6138, 6.3771, 11.2466, 11.2465, 9.3217, -2.2953, 2.2958, 0.0002,  1.0,  1.0,  0.2,  1.6,  2534,  1715,  41.0, 
se8, 6.4918, 6.4917, 6.1997, 10.6075, 10.6075, 8.7742, -2.4688, 2.4525, -0.0034,  1.0,  1.0,  0.2,  1.8,  2158,  1487,  28.0, 
se9, 7.4486, 7.4486, 7.4547, 15.3065, 15.3065, 16.0006, 0.3992, -0.406, -0.0006,  1.0,  1.0,  0.4,  0.2,  3246,  2359,  74.0, 
se10, 7.2929, 7.2929, 7.2929, 14.489, 14.4889, 14.5059, 0.0077, -0.0088, -0.019,  1.0,  1.0,  0.4,  0.4,  3238,  2255,  73.0, 
se11, 7.1288, 7.1288, 7.1076, 13.6151, 13.6151, 13.1303, -0.3881, 0.4014, -0.0001,  1.0,  1.0,  0.4,  0.6,  3406,  2311,  76.0, 
se12, 6.9645, 6.9645, 6.9118, 12.7536, 12.7536, 11.9059, -0.7725, 0.7751, 0.0005,  1.0,  1.0,  0.4,  0.8,  3286,  2179,  70.0, 
se13, 6.8041, 6.8041, 6.7127, 11.9346, 11.9346, 10.8353, -1.1154, 1.115, -0.0,  1.0,  1.0,  0.4,  1.0,  2838,  1859,  45.0, 
se14, 6.6526, 6.6526, 6.5172, 11.1778, 11.1778, 9.9297, -1.4109, 1.4109, -0.0003,  1.0,  1.0,  0.4,  1.2,  3006,  1943,  53.0, 
se15, 6.5107, 6.5107, 6.3272, 10.4833, 10.4833, 9.1706, -1.6583, 1.659, 0.0,  1.0,  1.0,  0.4,  1.4,  3094,  1943,  60.0, 
se16, 6.3811, 6.3811, 6.1452, 9.8604, 9.8603, 8.5465, -1.8721, 1.8713, 0.0037,  1.0,  1.0,  0.4,  1.6,  2846,  1771,  48.0, 
se17, 6.263, 6.263, 5.9723, 9.2987, 9.2987, 8.0371, -2.0484, 2.0479, -0.0022,  1.0,  1.0,  0.4,  1.8,  2406,  1543,  33.0, 
se18, 7.1589, 7.1589, 7.1902, 13.4204, 13.4204, 14.5351, 0.78, -0.781, 0.0003,  1.0,  1.0,  0.6,  0.2,  3366,  2303,  74.0, 
se19, 7.0082, 7.0082, 7.0315, 12.6849, 12.6849, 13.17, 0.4003, -0.399, 0.0046,  1.0,  1.0,  0.6,  0.4,  3310,  2207,  74.0, 
se20, 6.8498, 6.8498, 6.8502, 11.9043, 11.9043, 11.9147, 0.0098, -0.0057, 0.0001,  1.0,  1.0,  0.6,  0.6,  3550,  2287,  77.0, 
se21, 6.6914, 6.6914, 6.6585, 11.1381, 11.1381, 10.7972, -0.363, 0.3643, -0.0008,  1.0,  1.0,  0.6,  0.8,  3454,  2171,  74.0, 
se22, 6.5371, 6.5371, 6.464, 10.4138, 10.4138, 9.8214, -0.7038, 0.7046, 0.0001,  1.0,  1.0,  0.6,  1.0,  3062,  1883,  51.0, 
se23, 6.3911, 6.3911, 6.2734, 9.7443, 9.7443, 8.9978, -0.9934, 0.9924, 0.0002,  1.0,  1.0,  0.6,  1.2,  3246,  1983,  61.0, 
se24, 6.2552, 6.2552, 6.0886, 9.1362, 9.1362, 8.3068, -1.2445, 1.2449, -0.0014,  1.0,  1.0,  0.6,  1.4,  3462,  2039,  78.0, 
se25, 6.1295, 6.1295, 5.9104, 8.5848, 8.5848, 7.7335, -1.4555, 1.4629, 0.0024,  1.0,  1.0,  0.6,  1.6,  3078,  1811,  55.0, 
se26, 6.0177, 6.0177, 5.7428, 8.1006, 8.1006, 7.276, -1.6356, 1.6347, 0.0023,  1.0,  1.0,  0.6,  1.8,  2630,  1583,  39.0, 
se27, 6.8654, 6.8654, 6.9362, 11.773, 11.773, 13.1224, 1.1174, -1.1213, -0.0012,  1.0,  1.0,  0.8,  0.2,  3350,  2215,  76.0, 
se28, 6.72, 6.72, 6.7803, 11.1105, 11.1105, 11.8829, 0.748, -0.7478, -0.0275,  1.0,  1.0,  0.8,  0.4,  3318,  2135,  71.0, 
se29, 6.567, 6.567, 6.6023, 10.41, 10.41, 10.7433, 0.3681, -0.3678, -0.0,  1.0,  1.0,  0.8,  0.6,  3454,  2183,  77.0, 
se30, 6.415, 6.415, 6.4155, 9.7293, 9.7293, 9.7342, 0.0057, -0.0169, 0.0,  1.0,  1.0,  0.8,  0.8,  3662,  2195,  80.0, 
