se-name,  Kxx,  Kyy,  Kzz,  Omegaxx,  Omegayy,  Omegazz,  PIxx,  PIyy,  PIzz,  lam1,  lam2,  e1,  e2,  nelems,  nnodes,  time, 
se0, 3.4435, 3.4435, 2.7032, 2.4662, 2.4663, 0.4782, -2.1544, 2.1544, -0.0001,  0.2,  0.2,  0.2,  0.2,  2758,  2203,  52.0, 
se1, 3.3961, 3.3961, 2.6634, 2.4071, 2.4071, 0.4396, -2.1162, 2.1162, -0.0,  0.2,  0.2,  0.2,  0.4,  2822,  2203,  56.0, 
se2, 3.3401, 3.34, 2.6124, 2.3378, 2.3378, 0.3982, -2.0718, 2.072, -0.0,  0.2,  0.2,  0.2,  0.6,  2638,  2023,  51.0, 
se3, 3.2917, 3.2917, 2.5655, 2.276, 2.276, 0.3666, -2.0317, 2.0316, 0.0,  0.2,  0.2,  0.2,  0.8,  2718,  2039,  50.0, 
se4, 3.2408, 3.2408, 2.5139, 2.2118, 2.2118, 0.336, -1.9893, 1.9894, -0.0,  0.2,  0.2,  0.2,  1.0,  2454,  1835,  42.0, 
se5, 3.196, 3.196, 2.4663, 2.155, 2.155, 0.3116, -1.9516, 1.9517, -0.0,  0.2,  0.2,  0.2,  1.2,  2590,  1867,  46.0, 
se6, 3.1528, 3.1528, 2.4185, 2.0996, 2.0996, 0.2901, -1.9138, 1.9137, 0.0,  0.2,  0.2,  0.2,  1.4,  2462,  1803,  45.0, 
se7, 3.1147, 3.1147, 2.3737, 2.0508, 2.0508, 0.2729, -1.8807, 1.8797, 0.0,  0.2,  0.2,  0.2,  1.6,  2270,  1631,  36.0, 
se8, 3.0829, 3.0829, 2.3331, 2.0105, 2.0106, 0.2596, -1.8532, 1.8535, -0.0,  0.2,  0.2,  0.2,  1.8,  2374,  1655,  42.0, 
se9, 3.3426, 3.3426, 2.6029, 2.2256, 2.2256, 0.4401, -1.9618, 1.962, 0.0,  0.2,  0.2,  0.4,  0.2,  2830,  2163,  58.0, 
se10, 3.295, 3.295, 2.563, 2.1705, 2.1705, 0.4033, -1.9259, 1.9258, 0.0001,  0.2,  0.2,  0.4,  0.4,  2846,  2147,  57.0, 
se11, 3.2435, 3.2435, 2.5163, 2.1139, 2.1139, 0.3667, -1.8901, 1.8901, -0.0,  0.2,  0.2,  0.4,  0.6,  2774,  2031,  56.0, 
se12, 3.1963, 3.1963, 2.4702, 2.0587, 2.0587, 0.337, -1.8537, 1.8537, -0.0001,  0.2,  0.2,  0.4,  0.8,  2782,  1999,  54.0, 
se13, 3.1488, 3.1488, 2.4221, 2.0048, 2.0048, 0.3095, -1.8182, 1.8182, 0.0,  0.2,  0.2,  0.4,  1.0,  2654,  1867,  51.0, 
se14, 3.1051, 3.1051, 2.376, 1.9538, 1.9538, 0.2868, -1.7836, 1.7835, 0.0,  0.2,  0.2,  0.4,  1.2,  2646,  1859,  53.0, 
se15, 3.0643, 3.0643, 2.3308, 1.907, 1.907, 0.2671, -1.7518, 1.7528, -0.0004,  0.2,  0.2,  0.4,  1.4,  2518,  1779,  48.0, 
se16, 3.0286, 3.0286, 2.2887, 1.8659, 1.8659, 0.2514, -1.7236, 1.7234, 0.0,  0.2,  0.2,  0.4,  1.6,  2470,  1671,  41.0, 
se17, 2.9975, 2.9976, 2.2494, 1.8295, 1.8294, 0.239, -1.6985, 1.6985, -0.0,  0.2,  0.2,  0.4,  1.8,  2486,  1663,  47.0, 
se18, 3.2324, 3.2324, 2.4986, 1.9964, 1.9964, 0.3981, -1.7732, 1.7733, -0.0,  0.2,  0.2,  0.6,  0.2,  2734,  2075,  53.0, 
se19, 3.1859, 3.1859, 2.4596, 1.9478, 1.9478, 0.3641, -1.7415, 1.7414, 0.0,  0.2,  0.2,  0.6,  0.4,  2782,  2059,  57.0, 
se20, 3.1383, 3.1383, 2.416, 1.9009, 1.9009, 0.3318, -1.712, 1.7139, 0.0001,  0.2,  0.2,  0.6,  0.6,  2830,  1999,  54.0, 
se21, 3.0935, 3.0935, 2.3723, 1.854, 1.8539, 0.3049, -1.6815, 1.6822, -0.0,  0.2,  0.2,  0.6,  0.8,  2886,  1983,  55.0, 
se22, 3.0482, 3.0482, 2.3262, 1.8076, 1.8076, 0.28, -1.6509, 1.6509, -0.0,  0.2,  0.2,  0.6,  1.0,  2694,  1843,  47.0, 
se23, 3.0062, 3.0062, 2.2822, 1.7627, 1.7627, 0.2594, -1.6198, 1.6198, 0.0,  0.2,  0.2,  0.6,  1.2,  2686,  1827,  51.0, 
se24, 2.9677, 2.9677, 2.2395, 1.7229, 1.7229, 0.2417, -1.5927, 1.5926, -0.0,  0.2,  0.2,  0.6,  1.4,  2606,  1763,  48.0, 
se25, 2.9337, 2.9337, 2.1995, 1.6876, 1.6876, 0.2274, -1.5686, 1.5685, 0.0001,  0.2,  0.2,  0.6,  1.6,  2494,  1655,  43.0, 
se26, 2.9044, 2.9044, 2.1625, 1.6568, 1.6568, 0.2162, -1.5471, 1.5471, -0.0002,  0.2,  0.2,  0.6,  1.8,  2470,  1631,  43.0, 
se27, 3.1191, 3.1191, 2.3941, 1.7891, 1.7891, 0.3558, -1.6, 1.6, -0.0,  0.2,  0.2,  0.8,  0.2,  2686,  1987,  51.0, 
se28, 3.0747, 3.0747, 2.3567, 1.7482, 1.7482, 0.3249, -1.5737, 1.5736, 0.0001,  0.2,  0.2,  0.8,  0.4,  2726,  1963,  51.0, 
se29, 3.0298, 3.0298, 2.3153, 1.7071, 1.7071, 0.2966, -1.5475, 1.5475, 0.0,  0.2,  0.2,  0.8,  0.6,  2750,  1911,  50.0, 
se30, 2.9867, 2.9867, 2.2734, 1.6665, 1.6665, 0.2724, -1.5208, 1.5221, 0.0002,  0.2,  0.2,  0.8,  0.8,  2846,  1903,  52.0, 
se31, 2.9442, 2.9442, 2.2301, 1.627, 1.627, 0.2503, -1.4948, 1.4949, 0.0,  0.2,  0.2,  0.8,  1.0,  2726,  1803,  48.0, 
se32, 2.905, 2.905, 2.1884, 1.59, 1.59, 0.2319, -1.4698, 1.4698, -0.0,  0.2,  0.2,  0.8,  1.2,  2702,  1779,  50.0, 
se33, 2.8684, 2.8684, 2.1477, 1.5557, 1.5557, 0.216, -1.4463, 1.4463, -0.0,  0.2,  0.2,  0.8,  1.4,  2598,  1699,  48.0, 
se34, 2.8365, 2.8365, 2.1101, 1.5261, 1.5261, 0.2033, -1.426, 1.426, 0.0,  0.2,  0.2,  0.8,  1.6,  2502,  1623,  44.0, 
se35, 2.8088, 2.8087, 2.0751, 1.5003, 1.5003, 0.1931, -1.4081, 1.409, -0.0,  0.2,  0.2,  0.8,  1.8,  2470,  1591,  44.0, 
se36, 3.0054, 3.0057, 2.2917, 1.6049, 1.6045, 0.3153, -1.444, 1.4436, 0.0001,  0.2,  0.2,  1.0,  0.2,  2590,  1891,  45.0, 
se37, 2.9634, 2.9634, 2.2561, 1.5695, 1.5695, 0.2879, -1.4213, 1.4208, -0.0001,  0.2,  0.2,  1.0,  0.4,  2654,  1875,  46.0, 
se38, 2.9211, 2.9211, 2.2169, 1.5344, 1.5344, 0.263, -1.3989, 1.3989, -0.0001,  0.2,  0.2,  1.0,  0.6,  2678,  1839,  48.0, 
se39, 2.8802, 2.8802, 2.177, 1.4996, 1.4996, 0.2414, -1.376, 1.3761, -0.0,  0.2,  0.2,  1.0,  0.8,  2774,  1831,  50.0, 
se40, 2.8401, 2.8401, 2.1358, 1.4663, 1.4663, 0.2219, -1.3542, 1.3542, 0.0,  0.2,  0.2,  1.0,  1.0,  2654,  1739,  45.0, 
se41, 2.8033, 2.8033, 2.0964, 1.4352, 1.4352, 0.2055, -1.3334, 1.3333, 0.0,  0.2,  0.2,  1.0,  1.2,  2662,  1723,  47.0, 
se42, 2.769, 2.769, 2.058, 1.4067, 1.4067, 0.1914, -1.3147, 1.3148, 0.0,  0.2,  0.2,  1.0,  1.4,  2542,  1643,  41.0, 
se43, 2.7391, 2.7391, 2.0226, 1.3819, 1.3819, 0.1801, -1.2972, 1.2971, -0.0,  0.2,  0.2,  1.0,  1.6,  2478,  1575,  41.0, 
se44, 2.7126, 2.7126, 1.9895, 1.3588, 1.3588, 0.1711, -1.2811, 1.2811, -0.0,  0.2,  0.2,  1.0,  1.8,  2502,  1559,  41.0, 
se45, 2.8936, 2.8943, 2.1924, 1.4438, 1.4426, 0.2776, -1.3064, 1.3048, -0.0002,  0.2,  0.2,  1.2,  0.2,  2494,  1795,  40.0, 
se46, 2.8559, 2.8564, 2.1592, 1.4178, 1.4169, 0.2537, -1.2912, 1.2907, 0.0,  0.2,  0.2,  1.2,  0.4,  2614,  1787,  46.0, 
se47, 2.816, 2.8163, 2.1219, 1.3873, 1.3868, 0.2317, -1.2717, 1.2712, 0.0001,  0.2,  0.2,  1.2,  0.6,  2646,  1759,  48.0, 
se48, 2.7768, 2.7769, 2.0836, 1.3562, 1.3559, 0.2126, -1.2509, 1.2507, 0.0,  0.2,  0.2,  1.2,  0.8,  2702,  1751,  47.0, 
se49, 2.7394, 2.7394, 2.0451, 1.3279, 1.3279, 0.1955, -1.2325, 1.2325, -0.0,  0.2,  0.2,  1.2,  1.0,  2646,  1691,  46.0, 
se50, 2.7039, 2.7039, 2.0072, 1.3008, 1.3008, 0.1808, -1.2139, 1.2142, -0.0,  0.2,  0.2,  1.2,  1.2,  2598,  1643,  46.0, 
se51, 2.6707, 2.6717, 1.9708, 1.2765, 1.2747, 0.1684, -1.1976, 1.1959, 0.0001,  0.2,  0.2,  1.2,  1.4,  2462,  1567,  41.0, 
se52, 2.6432, 2.6432, 1.9375, 1.2544, 1.2544, 0.1585, -1.1825, 1.1828, 0.0,  0.2,  0.2,  1.2,  1.6,  2430,  1519,  37.0, 
se53, 2.6187, 2.6188, 1.9067, 1.2363, 1.2363, 0.1504, -1.1703, 1.1702, 0.0,  0.2,  0.2,  1.2,  1.8,  2454,  1511,  40.0, 
se54, 2.7781, 2.7793, 2.0958, 1.2878, 1.286, 0.2434, -1.1691, 1.167, 0.0,  0.2,  0.2,  1.4,  0.2,  2422,  1699,  41.0, 
se55, 2.7418, 2.742, 2.0641, 1.2628, 1.2624, 0.2225, -1.1533, 1.153, -0.0002,  0.2,  0.2,  1.4,  0.4,  2502,  1699,  41.0, 
se56, 2.7035, 2.7036, 2.028, 1.2365, 1.2363, 0.2029, -1.1365, 1.137, -0.0,  0.2,  0.2,  1.4,  0.6,  2550,  1671,  44.0, 
se57, 2.6679, 2.668, 1.9923, 1.2128, 1.2126, 0.1863, -1.1222, 1.1222, 0.0001,  0.2,  0.2,  1.4,  0.8,  2638,  1679,  46.0, 
se58, 2.6327, 2.6327, 1.9554, 1.1894, 1.1894, 0.1712, -1.1073, 1.1076, -0.0,  0.2,  0.2,  1.4,  1.0,  2542,  1611,  43.0, 
se59, 2.6015, 2.6015, 1.9201, 1.1713, 1.1713, 0.1583, -1.097, 1.0972, 0.0,  0.2,  0.2,  1.4,  1.2,  2566,  1587,  46.0, 
se60, 2.5718, 2.5718, 1.8863, 1.152, 1.1519, 0.1474, -1.0845, 1.0844, 0.0,  0.2,  0.2,  1.4,  1.4,  2398,  1499,  41.0, 
se61, 2.5455, 2.5456, 1.8551, 1.1341, 1.1341, 0.1388, -1.0726, 1.0725, 0.0001,  0.2,  0.2,  1.4,  1.6,  2422,  1479,  41.0, 
se62, 2.5229, 2.523, 1.8263, 1.119, 1.119, 0.1318, -1.0624, 1.0624, -0.0,  0.2,  0.2,  1.4,  1.8,  2438,  1463,  41.0, 
se63, 2.6782, 2.6804, 2.0065, 1.1786, 1.175, 0.2124, -1.0775, 1.0725, 0.0001,  0.2,  0.2,  1.6,  0.2,  2326,  1603,  43.0, 
se64, 2.6456, 2.6458, 1.9772, 1.1574, 1.157, 0.1944, -1.0631, 1.0626, -0.0006,  0.2,  0.2,  1.6,  0.4,  2438,  1611,  43.0, 
se65, 2.6095, 2.6095, 1.943, 1.1342, 1.1342, 0.1775, -1.0483, 1.0486, 0.0002,  0.2,  0.2,  1.6,  0.6,  2486,  1599,  44.0, 
se66, 2.5743, 2.5743, 1.9086, 1.1111, 1.1111, 0.1627, -1.0331, 1.0331, -0.0,  0.2,  0.2,  1.6,  0.8,  2590,  1607,  48.0, 
se67, 2.5406, 2.5406, 1.8735, 1.0903, 1.0903, 0.1495, -1.0197, 1.0197, -0.0,  0.2,  0.2,  1.6,  1.0,  2502,  1547,  44.0, 
se68, 2.5096, 2.5096, 1.84, 1.0714, 1.0714, 0.1382, -1.0075, 1.0076, -0.0002,  0.2,  0.2,  1.6,  1.2,  2486,  1523,  47.0, 
se69, 2.4807, 2.4807, 1.8071, 1.0538, 1.0538, 0.1285, -0.9959, 0.9957, 0.0001,  0.2,  0.2,  1.6,  1.4,  2358,  1443,  40.0, 
se70, 2.4562, 2.4562, 1.7778, 1.039, 1.039, 0.1209, -0.9861, 0.9862, 0.0,  0.2,  0.2,  1.6,  1.6,  2390,  1431,  43.0, 
se71, 2.4346, 2.4347, 1.7505, 1.0256, 1.0256, 0.1148, -0.9771, 0.9772, -0.0,  0.2,  0.2,  1.6,  1.8,  2406,  1415,  41.0, 
se72, 2.5664, 2.5681, 1.9183, 1.0468, 1.0443, 0.1853, -0.9574, 0.9545, 0.0001,  0.2,  0.2,  1.8,  0.2,  2246,  1523,  38.0, 
se73, 2.5346, 2.5346, 1.8897, 1.0279, 1.0278, 0.1694, -0.9456, 0.9455, -0.0001,  0.2,  0.2,  1.8,  0.4,  2334,  1531,  44.0, 
se74, 2.5102, 2.5102, 1.8608, 1.0273, 1.0273, 0.1549, -0.9525, 0.9525, -0.0,  0.2,  0.2,  1.8,  0.6,  2470,  1551,  46.0, 
se75, 2.4763, 2.4763, 1.8276, 1.0069, 1.0069, 0.1418, -0.939, 0.9391, 0.0,  0.2,  0.2,  1.8,  0.8,  2478,  1527,  47.0, 
